service_id,service_name,service_type,description,criticality,owner,team,sla_target_hours,status,created_at,updated_at
f9c1269b-0495-436f-b7f9-ba6e77ec6bda,web-application-001,web_application,Production web application service,silver,Michelle Robinson,Platform Engineering,4.89,open,2025-08-12 14:58:23,2025-08-18 14:58:23
0ab6f5c5-ff64-4df7-9fb8-1a2df130551f,api-gateway-002,api_gateway,Production api gateway service,gold,Kevin Thompson,Customer Experience,2.68,open,2025-04-05 19:50:01,2025-05-02 19:50:01
1b317d1b-9bdd-4c2b-bffa-5e53d04b6c26,data-pipeline-003,data_pipeline,Production data pipeline service,platinum,Michael Chen,DevOps,0.85,open,2025-01-10 15:31:44,2025-02-06 15:31:44
ee0ab07b-68f0-4e1e-b88f-9ceeb03e83c7,analytics-platform-004,analytics_platform,Production analytics platform service,silver,Amanda White,Customer Experience,5.84,open,2025-02-22 14:40:36,2025-03-05 14:40:36
541cbcda-42b7-490b-83b8-1e60396f364d,customer-portal-005,customer_portal,Production customer portal service,silver,Emily Davis,DevOps,4.91,open,2024-04-22 20:17:00,2024-05-12 20:17:00
dfee32ff-83a9-4f98-b35e-f6ec754fd1e6,payment-system-006,payment_system,Production payment system service,bronze,Lisa Anderson,Data Engineering,19.23,open,2024-04-15 09:59:08,2024-04-20 09:59:08
6284d7b3-c605-4370-93f9-97ab0da34b42,inventory-management-007,inventory_management,Production inventory management service,silver,Jennifer Martinez,Platform Engineering,6.75,open,2024-12-29 13:50:39,2025-01-10 13:50:39
5dde88a6-aa1b-4250-9502-369757c5ad99,notification-service-008,notification_service,Production notification service service,gold,Kevin Thompson,Database Operations,3.83,open,2025-06-27 02:12:44,2025-07-04 02:12:44
7fa559bc-2833-4dcf-ac5b-1e2401d09160,authentication-service-009,authentication_service,Production authentication service service,bronze,David Wilson,Data Engineering,17.34,open,2025-02-05 19:47:34,2025-03-01 19:47:34
3fa0669e-f615-46f6-a5a6-1bce70f24056,reporting-platform-010,reporting_platform,Production reporting platform service,platinum,Daniel Harris,Customer Experience,0.33,closed,2024-04-07 01:49:00,2024-04-23 01:49:00
e62f6318-4753-4bd5-8bd7-54a1f6528b9b,search-engine-011,search_engine,Production search engine service,gold,Christopher Lee,Cloud Infrastructure,3.83,open,2025-08-03 21:31:21,2025-08-08 21:31:21
9e0f8d3a-b07a-4be3-8cea-977f89543359,recommendation-engine-012,recommendation_engine,Production recommendation engine service,silver,Emily Davis,Security Operations,5.05,open,2024-08-02 06:17:30,2024-08-18 06:17:30
8e1c81ff-9d7e-446d-849f-8ac123da8bef,content-delivery-013,content_delivery,Production content delivery service,silver,Christopher Lee,SRE,6.16,open,2025-07-28 11:49:42,2025-08-26 11:49:42
3630dfb9-c14d-4f28-a4f2-4de2fc2c434a,order-management-014,order_management,Production order management service,silver,Michael Chen,SRE,4.96,open,2025-09-03 14:40:30,2025-09-27 14:40:30
9ce9f7de-26d1-44ff-a36f-b76bcde19def,crm-integration-015,crm_integration,Production crm integration service,silver,Michelle Robinson,Network Operations,7.79,open,2025-07-26 09:53:35,2025-08-19 09:53:35
9c1bf4ca-cf8a-451e-a0a4-3af8f7f10f65,web-application-016,web_application,Production web application service,bronze,Kevin Thompson,Cloud Infrastructure,18.4,open,2025-04-25 06:39:07,2025-04-27 06:39:07
ad376f29-742f-47ef-8cc6-6deccdeaa394,api-gateway-017,api_gateway,Production api gateway service,silver,Michael Chen,Platform Engineering,4.88,open,2024-04-01 20:08:35,2024-04-03 20:08:35
eddf2c15-98d6-47b7-8dcc-5836e6fc0014,data-pipeline-018,data_pipeline,Production data pipeline service,silver,Laura Clark,Network Operations,6.16,open,2025-09-08 08:47:13,2025-10-03 08:47:13
b9fe9953-0346-455c-94a1-c5a172a6e7b4,analytics-platform-019,analytics_platform,Production analytics platform service,silver,Emily Davis,Platform Engineering,5.42,open,2024-03-28 11:35:57,2024-04-07 11:35:57
669a3c68-8c1e-4132-91d6-035a5d9eccd9,customer-portal-020,customer_portal,Production customer portal service,bronze,Kevin Thompson,Network Operations,10.24,open,2024-08-06 21:56:57,2024-08-08 21:56:57
9fee8601-d9ae-4a80-8221-605196634a7b,payment-system-021,payment_system,Production payment system service,silver,Jennifer Martinez,Database Operations,4.2,open,2024-02-16 15:12:12,2024-03-02 15:12:12
7f62fecd-2388-45ac-b906-de6be5343086,inventory-management-022,inventory_management,Production inventory management service,gold,Amanda White,DevOps,1.18,open,2024-10-30 04:22:26,2024-11-22 04:22:26
0b86f888-18fa-41d7-9f06-8e24157e707a,notification-service-023,notification_service,Production notification service service,bronze,Sarah Johnson,Application Support,12.75,open,2024-04-01 08:53:42,2024-04-19 08:53:42
8187278d-5d57-4ddc-9876-8c1f5b01debf,authentication-service-024,authentication_service,Production authentication service service,silver,Michael Chen,Network Operations,4.23,open,2024-08-09 14:18:09,2024-09-08 14:18:09
c5bcb10b-185b-4c44-a597-6ced6cba68fe,reporting-platform-025,reporting_platform,Production reporting platform service,bronze,Christopher Lee,Security Operations,14.71,open,2025-09-21 08:23:13,2025-10-13 08:23:13
a5f8b430-fb1f-4c8b-b042-5fe74b8fada9,search-engine-026,search_engine,Production search engine service,silver,Kevin Thompson,Customer Experience,6.58,closed,2024-04-15 12:08:48,2024-04-18 12:08:48
f24639db-705d-4ac1-a0be-3de9c28ea784,recommendation-engine-027,recommendation_engine,Production recommendation engine service,platinum,Amanda White,Database Operations,0.41,open,2024-10-09 01:15:42,2024-10-26 01:15:42
80527c4d-716a-4966-9c08-859ddc506570,content-delivery-028,content_delivery,Production content delivery service,bronze,Emily Davis,Database Operations,8.13,open,2025-08-21 22:42:28,2025-09-18 22:42:28
eab1fa5b-ffa4-4067-bcce-6ce998814034,order-management-029,order_management,Production order management service,gold,Robert Taylor,Data Engineering,1.82,open,2024-08-28 10:53:58,2024-09-25 10:53:58
fa8b3d62-d044-4c49-8ca7-4efaa127c730,crm-integration-030,crm_integration,Production crm integration service,bronze,Robert Taylor,Database Operations,8.71,open,2025-01-07 16:34:14,2025-01-24 16:34:14
